ABB.,Depot Name,lat,lon,Max number of vehicle allocated
SKW,筲箕灣,22.280247962173,114.225649605094,13
SAB,大口環,22.270873831271,114.122335885874,20
KLB1,九龍灣（大業街）,22.319512961552,114.212630970086,33
KLB2,九龍灣（大業里）,22.318379331662,114.21325062769300,23
KLB3,九龍灣（鴻業街）,22.317122631003,114.213366896394,5
LAT,藍田復康會綜合大樓,22.308055170880,114.230519144215,2
TKO,將軍澳（尚德邨）,22.311633736960,114.260786244806,11
KT1,觀塘（萬兆豐中心）,22.312996300000,114.217304800000,7
KT2,觀塘（波頓科創中心）,22.314381801320,114.219419101916,4
YAT,油塘,22.303575330999,114.236080289344,11
TM1,屯門（石排）,22.401443579694,113.967479670880,12
TM2,屯門（良泰里）,22.409621802384,113.967625768572,12
TM3,屯門（山景邨）,22.398716128437,113.966813292149,9
TM4,屯門（培愛學校）,22.382229162323,113.973656556308,2
FAL,粉嶺（帝庭軒）,22.500577317085,114.143833087326,17
SHT1,沙田石門 (企業),22.389345952557,114.207529345487,2
SHT2,沙田石門(偉達),22.391529874960,114.207888735037,5
SHT3,沙田石門 (京瑞廣場),22.388980216943,114.209469646796,2
MEF,美孚（華荔邨）,22.342551836081,114.137926387494,10
TW1,荃灣(沙咀道1號),22.375194736776,114.108044131562,7
TW2,荃灣(Plaza 88),22.367295497469,114.115450575744,4
TW3,荃灣 (沙咀道39號),22.373945830848,114.109443761897,5
