existing_route,上學,就診,工作,治療,訓練,purpose_type_count,is_mixed_purpose
SR1001,0,0,2,0,10,2,1
SR1002,2,0,2,0,7,3,1
SR1011,0,0,1,0,4,2,1
SR1012,0,0,2,0,13,2,1
SR1021,0,0,1,0,6,2,1
SR1022,0,0,1,0,5,2,1
SR1031,0,0,3,0,1,2,1
SR1032,8,0,3,0,1,3,1
SR1041,0,0,0,0,7,1,0
SR1042,5,0,0,0,3,2,1
SR1051,0,0,0,0,13,1,0
SR1052,0,0,1,0,12,2,1
SR1061,7,0,0,0,8,2,1
SR1062,2,0,1,0,1,3,1
SR1071,2,0,1,0,9,3,1
SR1072,0,0,1,0,10,2,1
SR1081,6,0,0,0,3,2,1
SR1082,8,1,0,0,2,3,1
SR1086,0,0,1,0,1,2,1
SR1091,9,0,0,0,0,1,0
SR1092,4,0,0,0,0,1,0
SR1096,0,0,2,0,0,1,0
SR1101,5,1,0,0,6,3,1
SR1102,0,0,2,0,7,2,1
SR1111,0,0,3,0,9,2,1
SR1112,0,0,0,0,12,1,0
SR1121,5,0,0,0,3,2,1
SR1122,10,0,0,0,1,2,1
SR1131,0,0,2,0,3,2,1
SR1132,4,0,3,0,1,3,1
SR1141,0,0,0,0,6,1,0
SR1142,12,0,0,0,0,1,0
SR3001,0,0,0,1,19,2,1
SR3002,8,0,0,0,14,2,1
SR3011,1,0,0,1,9,3,1
SR3012,6,0,1,0,1,3,1
SR3021,0,0,2,0,5,2,1
SR3022,8,0,2,0,0,2,1
SR3031,0,0,2,0,4,2,1
SR3032,0,2,0,5,1,3,1
SR3041,0,0,1,0,5,2,1
SR3042,0,0,1,0,5,2,1
SR3051,0,0,1,0,13,2,1
SR3052,0,1,0,0,5,2,1
SR3061,10,0,3,0,0,2,1
SR3062,0,0,2,0,7,2,1
SR3071,0,0,2,0,7,2,1
SR3072,0,0,0,0,12,1,0
SR3081,2,0,2,0,8,3,1
SR3082,5,0,0,0,8,2,1
SR3091,4,0,0,0,3,2,1
SR3092,2,0,0,0,7,2,1
SR3101,10,0,1,0,2,3,1
SR3102,0,0,1,0,6,2,1
SR3111,5,0,0,0,9,2,1
SR3112,0,0,1,0,11,2,1
SR3121,4,0,0,0,8,2,1
SR3122,2,0,0,0,5,2,1
SR3131,4,0,0,0,4,2,1
SR3132,6,0,4,0,3,3,1
SR3141,0,0,0,0,11,1,0
SR3142,7,0,3,0,0,2,1
SR3151,4,0,1,0,0,2,1
SR3152,0,0,1,0,9,2,1
SR3161,0,0,1,0,9,2,1
SR3162,0,0,0,0,14,1,0
SR3171,2,0,1,0,4,3,1
SR3172,0,0,0,0,13,1,0
SR3176,0,0,3,1,0,2,1
SR3177,0,0,1,0,0,1,0
SR3181,0,0,2,0,0,1,0
SR3182,6,0,1,0,6,3,1
SR3191,18,0,0,0,3,2,1
SR3192,0,0,3,0,8,2,1
SR3201,0,0,0,0,10,1,0
SR3202,1,0,0,0,4,2,1
SR3211,0,0,0,0,8,1,0
SR3212,7,0,1,0,5,3,1
SR3217,0,0,1,0,0,1,0
SR3221,4,0,0,3,4,3,1
SR3222,6,0,0,1,7,3,1
SR3226,0,0,1,0,0,1,0
SR3231,15,0,0,0,0,1,0
SR3232,0,0,0,0,12,1,0
SR3236,0,0,0,3,3,2,1
SR3241,2,0,2,0,1,3,1
SR3242,2,0,2,1,9,4,1
SR3246,0,0,2,0,2,2,1
SR3251,11,0,0,0,2,2,1
SR3252,0,0,0,0,13,1,0
SR3261,0,0,0,0,10,1,0
SR3262,0,0,0,0,11,1,0
SR3271,7,0,0,0,1,2,1
SR3272,13,0,0,0,1,2,1
SR3281,7,0,0,0,7,2,1
SR3282,9,0,0,0,1,2,1
SR3291,15,0,0,0,2,2,1
SR3292,14,0,0,0,0,1,0
SR3301,2,0,0,0,0,1,0
SR3302,0,0,0,0,14,1,0
SR3311,11,0,0,0,2,2,1
SR3312,1,0,1,0,12,3,1
SR3321,0,0,2,0,9,2,1
SR3322,9,0,0,0,0,1,0
