existing_route,passenger_count,wheelchair_count,non_wheelchair_count,first_board_min,last_board_min,first_alight_min,last_alight_min,unique_board_stops,unique_alight_stops,route_time_span_min
SR1001,12,2,10,420.0,550.0,455.0,625.0,9,6,205.0
SR1002,11,3,8,900.0,1080.0,940.0,1100.0,5,7,200.0
SR1011,5,0,5,460.0,600.0,480.0,615.0,5,4,155.0
SR1012,15,3,12,910.0,1100.0,930.0,1140.0,6,10,230.0
SR1021,7,4,3,420.0,600.0,460.0,625.0,6,4,205.0
SR1022,6,0,6,900.0,1085.0,965.0,1100.0,3,5,200.0
SR1031,4,1,3,440.0,510.0,465.0,555.0,3,3,115.0
SR1032,12,5,7,900.0,1135.0,935.0,1160.0,5,7,260.0
SR1041,7,1,6,470.0,570.0,590.0,590.0,7,2,120.0
SR1042,8,4,4,920.0,920.0,970.0,1000.0,2,3,80.0
SR1051,13,2,11,420.0,550.0,510.0,590.0,9,4,170.0
SR1052,13,1,12,900.0,965.0,925.0,1065.0,6,11,165.0
SR1061,15,6,9,420.0,600.0,485.0,620.0,9,3,200.0
SR1062,4,3,1,925.0,1095.0,940.0,1105.0,3,4,180.0
SR1071,12,5,7,420.0,580.0,435.0,595.0,7,3,175.0
SR1072,11,1,10,900.0,1045.0,955.0,1060.0,4,5,160.0
SR1081,9,4,5,425.0,540.0,510.0,555.0,5,4,130.0
SR1082,11,5,6,970.0,990.0,985.0,1040.0,3,4,70.0
SR1086,2,2,0,420.0,495.0,435.0,515.0,2,2,95.0
SR1091,9,5,4,420.0,480.0,530.0,530.0,5,2,110.0
SR1092,4,1,3,930.0,930.0,965.0,1025.0,2,3,95.0
SR1096,2,1,1,500.0,535.0,515.0,570.0,2,2,70.0
SR1101,12,2,10,420.0,558.0,480.0,590.0,6,5,170.0
SR1102,9,3,6,900.0,1120.0,910.0,1150.0,4,8,250.0
SR1111,12,2,10,400.0,595.0,430.0,640.0,8,4,240.0
SR1112,12,1,11,920.0,1015.0,950.0,1045.0,3,3,125.0
SR1121,8,3,5,495.0,570.0,545.0,600.0,5,5,105.0
SR1122,11,3,8,935.0,1000.0,980.0,1045.0,4,6,110.0
SR1131,5,2,3,405.0,510.0,420.0,530.0,5,3,125.0
SR1132,8,3,5,930.0,1080.0,980.0,1125.0,5,6,195.0
SR1141,6,2,4,480.0,550.0,560.0,580.0,6,2,100.0
SR1142,12,4,8,920.0,1065.0,965.0,1110.0,3,5,190.0
SR3001,20,4,16,435.0,565.0,490.0,580.0,9,4,145.0
SR3002,22,3,19,900.0,940.0,910.0,1025.0,3,7,125.0
SR3011,11,7,4,420.0,595.0,465.0,640.0,11,6,220.0
SR3012,8,4,4,940.0,1070.0,965.0,1100.0,3,7,160.0
SR3021,7,4,3,420.0,510.0,445.0,545.0,5,4,125.0
SR3022,10,4,6,935.0,1055.0,975.0,1095.0,4,7,160.0
SR3031,6,3,3,455.0,580.0,500.0,595.0,4,4,140.0
SR3032,8,2,6,900.0,945.0,920.0,1015.0,2,6,115.0
SR3041,6,1,5,490.0,545.0,540.0,565.0,5,2,75.0
SR3042,6,2,4,910.0,1090.0,920.0,1110.0,4,6,200.0
SR3051,14,3,11,465.0,600.0,480.0,635.0,10,6,170.0
SR3052,6,0,6,900.0,1000.0,935.0,1020.0,3,6,120.0
SR3061,13,4,9,435.0,545.0,480.0,570.0,7,3,135.0
SR3062,9,3,6,925.0,1080.0,935.0,1125.0,4,8,200.0
SR3071,9,2,7,435.0,570.0,460.0,600.0,7,6,165.0
SR3072,12,1,11,900.0,1010.0,925.0,1080.0,4,10,180.0
SR3081,12,5,7,455.0,590.0,495.0,610.0,8,7,155.0
SR3082,13,3,10,900.0,940.0,930.0,1040.0,3,10,140.0
SR3091,7,3,4,460.0,600.0,505.0,610.0,5,2,150.0
SR3092,9,1,8,900.0,985.0,915.0,1050.0,4,8,150.0
SR3101,13,5,8,420.0,575.0,440.0,605.0,10,4,185.0
SR3102,7,4,3,900.0,1030.0,925.0,1080.0,4,7,180.0
SR3111,14,1,13,420.0,590.0,490.0,625.0,11,3,205.0
SR3112,12,4,8,900.0,1010.0,920.0,1080.0,2,10,180.0
SR3121,12,4,8,420.0,615.0,535.0,630.0,8,5,210.0
SR3122,7,2,5,900.0,1010.0,935.0,1045.0,5,6,145.0
SR3131,8,6,2,480.0,550.0,535.0,595.0,4,3,115.0
SR3132,13,6,7,900.0,1085.0,935.0,1130.0,6,8,230.0
SR3141,11,5,6,485.0,610.0,515.0,630.0,7,4,145.0
SR3142,10,5,5,900.0,1105.0,920.0,1170.0,4,7,270.0
SR3151,5,3,2,500.0,535.0,580.0,595.0,2,2,95.0
SR3152,10,5,5,900.0,1095.0,915.0,1120.0,4,9,220.0
SR3161,10,3,7,450.0,570.0,485.0,615.0,9,5,165.0
SR3162,14,6,8,915.0,995.0,940.0,1105.0,4,10,190.0
SR3171,7,2,5,430.0,600.0,470.0,630.0,6,3,200.0
SR3172,13,3,10,900.0,1045.0,945.0,1125.0,4,7,225.0
SR3176,4,2,2,420.0,505.0,475.0,545.0,4,4,125.0
SR3177,1,0,1,960.0,960.0,1005.0,1005.0,1,1,45.0
SR3181,2,1,1,1320.0,1320.0,1355.0,1360.0,1,2,40.0
SR3182,13,6,7,915.0,1060.0,945.0,1075.0,5,8,160.0
SR3191,21,7,14,420.0,570.0,505.0,630.0,10,3,210.0
SR3192,11,7,4,900.0,1105.0,925.0,1155.0,6,11,255.0
SR3201,10,1,9,435.0,565.0,500.0,580.0,7,4,145.0
SR3202,5,0,5,900.0,960.0,915.0,1010.0,3,4,110.0
SR3211,8,0,8,440.0,555.0,490.0,575.0,8,4,135.0
SR3212,13,1,12,900.0,1075.0,920.0,1105.0,4,9,205.0
SR3217,1,0,1,785.0,785.0,795.0,795.0,1,1,10.0
SR3221,11,6,5,465.0,600.0,515.0,630.0,9,5,165.0
SR3222,14,7,7,900.0,1080.0,920.0,1095.0,4,13,195.0
