route_id,passenger_id,passenger_name,individual_name,is_wheelchair,wheelchair_count,non_wheelchair_count,pickup_stop_id,dropoff_stop_id,planned_pickup_time,planned_dropoff_time,actual_pickup_time,actual_dropoff_time,total_ride_time_min,direct_drive_time_min,detour_time_min,dropoff_delay_min
R001,2413,乘客2040,乘客2040,是,1,0,984,989,07:15,08:05,06:48,07:51,63.0,49.0,10.0,0.0
R001,882,乘客779,乘客779,否,0,1,406,747,07:45,08:15,07:06,08:11,65.0,33.0,28.0,0.0
R001,2384,乘客2016,乘客2016,是,1,0,967,737,08:25,08:50,08:30,08:54,24.0,9.0,8.0,4.0
R001,883,乘客780,乘客780,是,1,0,407,717,08:45,09:50,08:43,09:35,52.0,22.0,21.0,0.0
R001,886,乘客783,乘客783,否,0,1,409,717,09:05,09:50,09:04,09:35,31.0,19.0,7.0,0.0
R001,887,乘客784,乘客784,否,0,1,410,738,09:15,10:10,09:14,09:48,34.0,15.0,12.0,0.0
R001,890,乘客786,乘客786,否,0,1,412,738,10:00,10:10,09:42,09:48,6.0,4.0,0.0,0.0
R002,2402,乘客2031,乘客2031,是,1,0,977,983,06:50,07:30,06:27,07:33,66.0,50.0,6.0,3.0
R002,2446,乘客2064,乘客2064,是,1,0,1003,132,07:25,08:45,06:58,08:37,99.0,60.0,30.0,0.0
R002,2446,乘客2064,乘客2064跟車,否,0,1,1003,132,07:25,08:45,06:58,08:37,99.0,60.0,30.0,0.0
R002,2446,乘客2064,乘客2065,否,0,1,1003,132,07:25,08:45,06:58,08:37,99.0,60.0,30.0,0.0
R002,2446,乘客2064,乘客2065跟車,否,0,1,1003,132,07:25,08:45,06:58,08:37,99.0,60.0,30.0,0.0
R003,638,乘客551,乘客551,否,0,1,305,1043,07:10,07:50,06:50,07:29,39.0,28.0,5.0,0.0
R003,1650,乘客1402,乘客1402,是,1,0,678,131,07:45,08:30,07:06,07:50,44.0,31.0,8.0,0.0
R003,1650,乘客1402,乘客1402跟車,否,0,1,678,131,07:45,08:30,07:06,07:50,44.0,31.0,8.0,0.0
R003,1397,乘客1209,乘客1209,是,1,0,591,276,08:40,09:35,08:48,09:33,45.0,28.0,11.0,0.0
R003,1397,乘客1209,乘客1209跟車,否,0,1,591,276,08:40,09:35,08:48,09:33,45.0,28.0,11.0,0.0
R003,1020,乘客888,乘客888,否,0,1,446,159,08:50,10:25,09:18,09:44,26.0,15.0,5.0,0.0
R003,1020,乘客888,乘客888跟車,否,0,1,446,159,08:50,10:25,09:18,09:44,26.0,15.0,5.0,0.0
R004,2445,乘客2063,乘客2063,否,0,1,1002,90,07:00,08:30,06:31,08:10,99.0,55.0,37.0,0.0
R004,2450,乘客2066,乘客2066,是,1,0,1004,132,07:40,08:45,07:00,08:24,84.0,58.0,19.0,0.0
R004,2450,乘客2066,乘客2066跟車,否,0,1,1004,132,07:40,08:45,07:00,08:24,84.0,58.0,19.0,0.0
R004,2201,乘客1875,乘客1875,否,0,1,897,138,07:45,08:30,07:35,08:20,45.0,33.0,10.0,0.0
R004,2406,乘客2034,乘客2034,是,1,0,949,981,09:05,09:25,09:05,09:29,24.0,21.0,0.0,4.0
R005,1877,乘客1600,乘客1600,否,0,1,769,728,07:50,09:00,07:08,07:37,29.0,11.0,12.0,0.0
R005,2403,乘客2032,乘客2032,否,0,1,978,949,08:00,09:05,07:22,08:28,66.0,39.0,18.0,0.0
R005,2438,乘客2056,乘客2056,是,1,0,996,999,08:30,09:00,07:30,07:51,21.0,11.0,6.0,0.0
R005,2440,乘客2058,乘客2058,否,0,1,998,600,09:15,09:55,09:00,09:45,45.0,44.0,0.0,0.0
R006,837,乘客740,乘客740,否,0,1,389,304,07:30,08:30,07:19,08:12,53.0,19.0,19.0,0.0
R006,838,乘客741,乘客741,否,0,1,390,304,07:45,08:30,07:42,08:12,30.0,15.0,6.0,0.0
R006,838,乘客741,乘客742,否,0,1,390,304,07:45,08:30,07:42,08:12,30.0,15.0,6.0,0.0
R006,840,乘客743,乘客743,是,1,0,390,315,07:45,09:15,07:42,08:37,55.0,15.0,25.0,0.0
R006,841,乘客744,乘客744,否,0,1,391,304,07:50,08:30,07:45,08:12,27.0,13.0,6.0,0.0
R006,843,乘客746,乘客746,是,1,0,392,315,08:05,09:15,08:02,08:37,35.0,17.0,8.0,0.0
R006,961,乘客840,乘客840,是,1,0,429,276,09:15,10:10,08:53,09:45,52.0,28.0,12.0,0.0
R006,961,乘客840,乘客840跟車,否,0,1,429,276,09:15,10:10,08:53,09:45,52.0,28.0,12.0,0.0
R006,334,乘客283,乘客283,是,1,0,169,185,09:35,10:15,09:14,10:06,52.0,13.0,25.0,0.0
R006,336,乘客285,乘客285,是,1,0,171,185,09:55,10:15,09:24,10:06,42.0,13.0,19.0,0.0
R007,614,乘客528,乘客528,是,1,0,294,287,07:30,08:05,07:34,08:06,32.0,29.0,0.0,1.0
R007,908,乘客801,乘客801,是,1,0,415,420,08:10,08:25,08:18,08:29,11.0,8.0,0.0,4.0
R007,616,乘客530,乘客530,否,0,1,296,304,08:25,10:15,08:38,09:17,39.0,15.0,19.0,0.0
R007,621,乘客534,乘客534,否,0,1,300,304,09:00,10:15,08:48,09:17,29.0,17.0,8.0,0.0
R007,2373,乘客2007,乘客2007,否,0,1,962,964,09:40,10:25,08:56,09:34,38.0,11.0,23.0,0.0
R007,2373,乘客2007,乘客2007跟車,否,0,1,962,964,09:40,10:25,08:56,09:34,38.0,11.0,23.0,0.0
R008,1125,乘客974,乘客974,是,1,0,487,178,07:00,08:55,06:49,07:40,51.0,22.0,19.0,0.0
R008,1125,乘客974,乘客974跟車,否,0,1,487,178,07:00,08:55,06:49,07:40,51.0,22.0,19.0,0.0
R008,1442,乘客1236,乘客1236,是,1,0,608,614,07:40,09:15,07:10,07:57,47.0,11.0,25.0,0.0
R008,347,乘客295,乘客295,否,0,1,175,519,07:55,09:05,07:25,07:46,21.0,11.0,4.0,0.0
R008,347,乘客295,乘客296,否,0,1,175,519,07:55,09:05,07:25,07:46,21.0,11.0,4.0,0.0
R008,794,乘客697,乘客697,是,1,0,372,892,09:15,09:30,08:03,08:45,42.0,11.0,20.0,0.0
R008,331,乘客280,乘客280,是,1,0,166,185,09:15,10:15,08:16,09:06,50.0,15.0,24.0,0.0
R008,744,乘客647,乘客647,是,1,0,353,157,09:20,10:30,08:33,09:18,45.0,15.0,20.0,0.0
R008,642,乘客554,乘客554,否,0,1,308,312,09:35,10:30,08:54,09:40,46.0,19.0,20.0,0.0
R009,879,乘客776,乘客776,否,0,1,403,747,07:00,08:15,06:39,08:18,99.0,36.0,50.0,3.0
R009,880,乘客777,乘客777,是,1,0,404,748,07:15,08:10,06:56,08:11,75.0,39.0,28.0,1.0
R009,881,乘客778,乘客778,否,0,1,405,746,07:30,08:30,07:06,08:30,84.0,40.0,35.0,0.0
R009,1857,乘客1582,乘客1582,是,1,0,759,727,08:05,08:50,07:42,08:41,59.0,26.0,25.0,0.0
R009,884,乘客781,乘客781,是,1,0,408,717,08:55,09:50,09:01,09:29,28.0,22.0,0.0,0.0
R009,884,乘客781,乘客782,是,1,0,408,717,08:55,09:50,09:01,09:29,28.0,22.0,0.0,0.0
R010,857,乘客759,乘客759,否,0,1,396,337,07:00,09:00,07:01,08:03,62.0,21.0,30.0,0.0
R010,858,乘客760,乘客760,是,1,0,397,337,07:10,09:00,07:11,08:03,52.0,21.0,24.0,0.0
R010,1307,乘客1129,乘客1129,否,0,1,499,560,07:45,09:05,07:33,08:11,38.0,9.0,21.0,0.0
R010,721,乘客625,乘客625,否,0,1,341,346,07:50,09:20,07:43,08:21,38.0,8.0,22.0,0.0
R010,1308,乘客1130,乘客1130,否,0,1,555,560,08:05,09:05,07:50,08:11,21.0,9.0,6.0,0.0
R010,999,乘客871,乘客871,否,0,1,439,220,09:30,09:50,08:34,08:55,21.0,11.0,6.0,0.0
R010,999,乘客871,乘客871跟車,否,0,1,439,220,09:30,09:50,08:34,08:55,21.0,11.0,6.0,0.0
R010,1001,乘客872,乘客872,否,0,1,440,220,09:40,09:50,08:46,08:55,9.0,6.0,0.0,0.0
R010,221,乘客188,乘客188,否,0,1,124,1022,09:55,10:40,09:09,09:44,35.0,34.0,0.0,0.0
R011,512,乘客439,乘客439,否,0,1,249,160,07:00,08:10,06:40,07:33,53.0,17.0,23.0,0.0
R011,515,乘客442,乘客442,是,1,0,251,160,07:20,08:10,06:58,07:33,35.0,17.0,10.0,0.0
R011,516,乘客443,乘客443,否,0,1,251,158,07:20,08:30,06:58,07:45,47.0,19.0,19.0,0.0
R011,287,乘客237,乘客237,是,1,0,151,157,07:30,09:25,07:10,07:54,44.0,17.0,19.0,0.0
R011,1024,乘客891,乘客891,否,0,1,449,164,09:30,09:50,08:12,08:59,47.0,26.0,15.0,0.0
R011,1025,乘客892,乘客892,是,1,0,450,157,09:40,10:20,08:44,09:30,46.0,17.0,17.0,0.0
R011,1026,乘客893,乘客893,否,0,1,251,159,09:45,10:25,08:49,09:33,44.0,15.0,17.0,0.0
R011,1027,乘客894,乘客894,是,1,0,451,157,09:55,10:20,09:07,09:30,23.0,17.0,0.0,0.0
R012,253,乘客211,乘客211,是,1,0,134,61,06:45,07:00,06:21,06:43,22.0,19.0,0.0,0.0
R012,476,乘客406,乘客406,否,0,1,229,236,07:40,08:25,07:20,08:27,67.0,24.0,33.0,2.0
R012,2331,乘客1976,乘客1976,否,0,1,951,420,08:00,08:20,07:25,08:02,37.0,19.0,13.0,0.0
R012,479,乘客408,乘客408,是,1,0,231,236,08:00,08:25,07:40,08:27,47.0,26.0,16.0,2.0
R012,2093,乘客1789,乘客1789,否,0,1,856,859,08:25,09:55,09:01,09:19,18.0,17.0,0.0,0.0
R013,1745,乘客1485,乘客1485,是,1,0,709,813,07:35,08:10,07:27,08:05,38.0,28.0,6.0,0.0
R013,950,乘客834,乘客834,否,0,1,425,202,08:05,08:50,07:45,08:23,38.0,9.0,25.0,0.0
