route_id,num_records,total_passengers,total_wheelchair,total_non_wheelchair,route_duration_min,early_departure_shift_min,peak_wheelchair_onboard,peak_non_wheelchair_onboard,peak_total_onboard
R001,7,7,3,4,180.0,31.0,2,2,3
R002,2,5,2,3,130.0,27.0,2,3,5
R003,4,7,2,5,174.0,21.0,1,3,4
R004,4,5,2,3,178.0,30.0,1,3,4
R005,4,4,1,3,157.0,43.0,1,2,3
R006,8,10,5,5,167.0,12.0,3,4,6
R007,5,6,2,4,120.0,0.0,1,4,4
R008,7,9,5,4,171.0,16.0,3,3,5
R009,5,6,4,2,170.0,22.0,2,2,4
R010,8,9,1,8,163.0,0.0,1,4,5
R011,8,8,4,4,173.0,21.0,2,2,4
R012,5,5,2,3,178.0,28.0,1,2,3
R013,7,8,5,3,178.0,12.0,3,1,4
R014,8,9,4,5,172.0,22.0,2,3,4
R015,7,9,5,4,138.0,8.0,3,2,5
R016,6,11,2,9,180.0,47.0,2,6,8
R017,5,6,2,4,177.0,23.0,1,4,5
R018,4,7,3,4,168.0,31.0,2,3,5
R019,5,6,1,5,148.0,17.0,1,3,4
R020,4,6,3,3,138.0,4.0,2,2,4
R021,6,6,3,3,174.0,9.0,2,1,3
R022,5,8,3,5,171.0,19.0,3,4,7
R023,4,7,2,5,124.0,11.0,2,5,7
R024,8,8,2,6,169.0,55.0,1,3,4
R025,7,7,0,7,174.0,41.0,0,4,4
R026,6,7,0,7,174.0,0.0,0,4,4
R027,7,9,3,6,164.0,34.0,2,3,5
R028,8,8,0,8,180.0,3.0,0,3,3
R029,7,8,2,6,164.0,37.0,1,5,6
R030,9,11,1,10,178.0,0.0,1,7,8
R031,4,6,4,2,167.0,5.0,3,1,4
R032,5,6,3,3,177.0,22.0,3,2,5
R033,6,8,2,6,176.0,14.0,1,3,4
R034,7,8,3,5,176.0,17.0,3,2,4
R035,7,7,2,5,175.0,24.0,1,3,3
R036,10,11,1,10,178.0,22.0,1,4,5
R037,7,8,4,4,179.0,40.0,2,3,4
R038,6,8,4,4,172.0,4.0,3,2,5
R039,9,11,2,9,178.0,15.0,1,4,5
R040,6,7,3,4,171.0,25.0,2,3,4
R041,7,7,0,7,178.0,18.0,0,4,4
R042,8,8,5,3,180.0,14.0,3,2,3
R043,7,9,4,5,180.0,7.0,2,2,4
R044,7,11,6,5,173.0,0.0,3,2,5
R045,6,12,4,8,166.0,18.0,3,6,9
R046,7,8,4,4,176.0,0.0,2,2,3
R047,7,10,3,7,178.0,6.0,2,5,7
R048,7,11,4,7,178.0,33.0,3,6,9
R049,5,8,3,5,173.0,0.0,2,4,5
R050,5,7,3,4,176.0,18.0,2,3,3
R051,7,9,2,7,168.0,13.0,1,4,5
R052,8,9,3,6,175.0,14.0,1,3,4
R053,8,8,2,6,151.0,0.0,1,6,7
R054,7,10,4,6,181.0,1.0,1,3,3
R055,6,8,7,1,130.0,0.0,4,1,4
R056,7,9,4,5,177.0,11.0,2,4,4
R057,8,8,5,3,163.0,18.0,4,2,6
R058,5,8,3,5,167.0,0.0,2,5,6
R059,8,9,5,4,180.0,3.0,2,3,5
R060,8,10,5,5,179.0,13.0,3,2,5
R061,7,11,5,6,169.0,0.0,3,3,6
R062,7,10,4,6,177.0,9.0,2,5,7
R063,10,11,1,10,180.0,45.0,1,6,6
R064,8,10,3,7,178.0,12.0,2,3,5
R065,9,11,2,9,169.0,9.0,2,5,7
R066,7,10,4,6,179.0,0.0,3,4,7
R067,8,11,3,8,172.0,22.0,2,4,6
R068,8,11,3,8,165.0,7.0,2,4,4
R069,7,8,2,6,170.0,0.0,1,5,6
R070,7,10,5,5,172.0,3.0,3,3,5
R071,10,10,4,6,163.0,9.0,3,4,7
R072,10,13,4,9,158.0,3.0,2,4,5
R073,9,11,3,8,179.0,29.0,3,4,7
R074,6,10,5,5,175.0,25.0,3,3,6
R075,7,11,3,8,179.0,20.0,2,4,6
R076,9,11,2,9,155.0,0.0,1,6,6
R077,8,11,5,6,167.0,12.0,4,3,7
R078,9,12,3,9,180.0,2.0,2,6,8
R079,9,10,1,9,178.0,8.0,1,5,5
R080,5,10,5,5,175.0,0.0,4,3,7
R081,7,10,4,6,141.0,0.0,3,5,6
R082,8,9,4,5,153.0,0.0,3,2,5
R083,10,11,3,8,165.0,2.0,1,6,7
R084,5,8,3,5,162.0,13.0,3,4,7
R085,6,9,5,4,162.0,6.0,3,3,6
R086,6,13,3,10,171.0,13.0,2,5,6
R087,7,13,4,9,169.0,14.0,4,8,12
R088,7,12,5,7,182.0,10.0,3,4,7
R089,6,11,4,7,153.0,14.0,2,5,7
R090,10,12,4,8,177.0,0.0,2,5,6
R091,11,14,5,9,179.0,9.0,3,4,5
R092,8,12,4,8,180.0,3.0,2,5,6
R093,9,13,3,10,175.0,9.0,2,6,6
R094,7,11,3,8,159.0,6.0,2,7,8
R095,10,13,4,9,154.0,0.0,2,5,7
R096,5,11,4,7,171.0,1.0,3,4,6
R097,9,11,3,8,140.0,0.0,2,5,7
R098,8,11,4,7,177.0,14.0,3,7,7
R099,9,13,2,11,179.0,9.0,1,4,5
R100,6,11,7,4,173.0,0.0,4,2,6
R101,6,10,4,6,171.0,24.0,3,3,6
R102,10,12,2,10,147.0,0.0,1,8,9
R103,7,12,4,8,175.0,0.0,2,5,6
R104,7,13,4,9,176.0,12.0,2,7,9
R105,9,13,5,8,170.0,6.0,3,7,10
R106,9,13,3,10,166.0,5.0,2,7,9
R107,9,12,3,9,171.0,0.0,2,6,6
R108,8,12,3,9,172.0,5.0,2,8,9
R109,9,12,5,7,178.0,4.0,4,3,4
R110,8,12,6,6,163.0,0.0,3,3,6
R111,9,14,4,10,168.0,17.0,4,5,9
R112,9,13,3,10,158.0,12.0,3,7,10
R113,9,14,5,9,170.0,0.0,3,4,7
R114,8,14,5,9,156.0,4.0,4,8,12
R115,7,14,5,9,178.0,18.0,3,5,6
R116,9,15,5,10,178.0,9.0,3,5,6
R117,11,14,4,10,173.0,17.0,3,8,11
R118,7,14,4,10,178.0,8.0,3,9,9
R119,8,15,7,8,181.0,0.0,5,7,12
R120,7,15,4,11,173.0,0.0,2,6,8
R121,6,14,1,13,131.0,1.0,1,9,9
R122,6,17,3,14,167.0,0.0,2,9,9
R123,9,19,4,15,131.0,0.0,2,9,10
