route_id,visit_seq,passenger_name,individual_name,stop_id,event_type,travel_from_prev_stop_min,vehicle_arrival_time,service_time_min,vehicle_departure_time,planned_time_minutes,planned_time_hhmm,wait_at_stop_min
R001,1,乘客2040,乘客2040,984,pickup,0.0,06:44,4,06:48,435.0,07:15,31.0
R001,2,乘客779,乘客779,406,pickup,17.0,07:05,1,07:06,465.0,07:45,40.0
R001,3,乘客2040,乘客2040,989,dropoff,42.0,07:48,3,07:51,485.0,08:05,17.0
R001,4,乘客779,乘客779,747,dropoff,19.0,08:10,1,08:11,495.0,08:15,5.0
R001,5,乘客2016,乘客2016,967,pickup,15.0,08:26,4,08:30,505.0,08:25,0.0
R001,6,乘客780,乘客780,407,pickup,9.0,08:39,4,08:43,525.0,08:45,6.0
R001,7,乘客2016,乘客2016,737,dropoff,8.0,08:51,3,08:54,530.0,08:50,0.0
R001,8,乘客783,乘客783,409,pickup,9.0,09:03,1,09:04,545.0,09:05,2.0
R001,9,乘客784,乘客784,410,pickup,9.0,09:13,1,09:14,555.0,09:15,2.0
R001,10,乘客780,乘客780,717,dropoff,17.0,09:31,4,09:35,590.0,09:50,19.0
R001,11,乘客783,乘客783,717,dropoff,17.0,09:31,4,09:35,590.0,09:50,19.0
R001,12,乘客786,乘客786,412,pickup,6.0,09:41,1,09:42,600.0,10:00,19.0
R001,13,乘客784,乘客784,738,dropoff,4.0,09:46,2,09:48,610.0,10:10,24.0
R001,14,乘客786,乘客786,738,dropoff,4.0,09:46,2,09:48,610.0,10:10,24.0
R002,1,乘客2031,乘客2031,977,pickup,0.0,06:23,4,06:27,410.0,06:50,27.0
R002,2,乘客2064,乘客2064,1003,pickup,24.0,06:51,7,06:58,445.0,07:25,34.0
R002,2,乘客2064,乘客2064跟車,1003,pickup,24.0,06:51,7,06:58,445.0,07:25,34.0
R002,2,乘客2064,乘客2065,1003,pickup,24.0,06:51,7,06:58,445.0,07:25,34.0
R002,2,乘客2064,乘客2065跟車,1003,pickup,24.0,06:51,7,06:58,445.0,07:25,34.0
R002,3,乘客2031,乘客2031,983,dropoff,32.0,07:30,3,07:33,450.0,07:30,0.0
R002,4,乘客2064,乘客2064,132,dropoff,58.0,08:31,6,08:37,525.0,08:45,14.0
R002,4,乘客2064,乘客2064跟車,132,dropoff,58.0,08:31,6,08:37,525.0,08:45,14.0
R002,4,乘客2064,乘客2065,132,dropoff,58.0,08:31,6,08:37,525.0,08:45,14.0
R002,4,乘客2064,乘客2065跟車,132,dropoff,58.0,08:31,6,08:37,525.0,08:45,14.0
R003,1,乘客551,乘客551,305,pickup,0.0,06:49,1,06:50,430.0,07:10,21.0
R003,2,乘客1402,乘客1402,678,pickup,11.0,07:01,5,07:06,465.0,07:45,44.0
R003,2,乘客1402,乘客1402跟車,678,pickup,11.0,07:01,5,07:06,465.0,07:45,44.0
R003,3,乘客551,乘客551,1043,dropoff,22.0,07:28,1,07:29,470.0,07:50,22.0
R003,4,乘客1402,乘客1402,131,dropoff,17.0,07:46,4,07:50,510.0,08:30,44.0
R003,4,乘客1402,乘客1402跟車,131,dropoff,17.0,07:46,4,07:50,510.0,08:30,44.0
R003,5,乘客1209,乘客1209,591,pickup,53.0,08:43,5,08:48,520.0,08:40,0.0
R003,5,乘客1209,乘客1209跟車,591,pickup,53.0,08:43,5,08:48,520.0,08:40,0.0
R003,6,乘客888,乘客888,446,pickup,28.0,09:16,2,09:18,530.0,08:50,0.0
R003,6,乘客888,乘客888跟車,446,pickup,28.0,09:16,2,09:18,530.0,08:50,0.0
R003,7,乘客1209,乘客1209,276,dropoff,11.0,09:29,4,09:33,575.0,09:35,6.0
R003,7,乘客1209,乘客1209跟車,276,dropoff,11.0,09:29,4,09:33,575.0,09:35,6.0
R003,8,乘客888,乘客888,159,dropoff,9.0,09:42,2,09:44,625.0,10:25,43.0
R003,8,乘客888,乘客888跟車,159,dropoff,9.0,09:42,2,09:44,625.0,10:25,43.0
R004,1,乘客2063,乘客2063,1002,pickup,0.0,06:30,1,06:31,420.0,07:00,30.0
R004,2,乘客2066,乘客2066,1004,pickup,24.0,06:55,5,07:00,460.0,07:40,45.0
